deliverydate,peaktype,coast,east,far_west,north,north_c,southern,south_c,west,total
6/28/2016 0:00,PeakWD,14246,2036,2332,1312,18567,4632,8881,1489,53498
6/29/2016 0:00,PeakWD,15182,2091,2432,1284,18486,4495,9152,1569,54694
6/30/2016 0:00,PeakWD,15794,2192,2444,1291,18802,4640,9540,1618,56325
7/1/2016 0:00,PeakWD,15843,2208,2443,1334,18753,4640,9434,1663,56321
7/5/2016 0:00,PeakWD,16885,2189,2509,1295,17942,4806,10002,1766,57398
7/6/2016 0:00,PeakWD,16637,2301,2509,1406,19493,4762,9947,1881,58939
7/7/2016 0:00,PeakWD,16560,2443,2492,1392,19243,4834,9907,1824,58697
7/8/2016 0:00,PeakWD,16651,2382,2467,1353,19021,4724,9858,1737,58196
7/11/2016 0:00,PeakWD,16442,2434,2614,1192,18939,4714,9877,1823,58038
7/12/2016 0:00,PeakWD,16685,2435,2637,1297,18805,4729,9803,1786,58181
7/13/2016 0:00,PeakWD,16961,2360,2630,1410,19828,4842,10146,1822,60003
7/14/2016 0:00,PeakWD,16864,2288,2552,1388,19809,4823,10167,1776,59671
7/15/2016 0:00,PeakWD,16757,2231,2514,1253,17365,4757,10017,1747,56643
7/18/2016 0:00,PeakWD,15611,2297,2563,1372,19553,4770,9927,1720,57817
7/19/2016 0:00,PeakWD,15162,2319,2555,1385,20009,4587,9758,1743,57523
7/20/2016 0:00,PeakWD,16289,2311,2569,1434,20110,4711,9863,1754,59044
7/21/2016 0:00,PeakWD,16660,2299,2580,1452,20347,4603,9995,1753,59692
7/22/2016 0:00,PeakWD,16644,2340,2570,1442,20355,4674,10093,1750,59870
7/25/2016 0:00,PeakWD,15294,2104,2637,1375,18956,4880,9897,1789,56936
7/26/2016 0:00,PeakWD,13688,2167,2482,1304,19338,4515,8456,1668,53621
7/27/2016 0:00,PeakWD,13831,2103,2534,1254,18556,4522,8036,1644,52483
7/28/2016 0:00,PeakWD,13961,2007,2541,1338,18617,4619,8650,1657,53394
7/29/2016 0:00,PeakWD,15530,2050,2502,1336,18473,4556,9060,1647,55156
8/1/2016 0:00,PeakWD,16458,2332,2586,1452,19932,4726,9623,1731,58844
8/2/2016 0:00,PeakWD,16656,2379,2527,1404,19978,4770,9893,1743,59354
8/3/2016 0:00,PeakWD,16826,2405,2599,1460,21057,4773,10009,1776,60907
8/4/2016 0:00,PeakWD,16738,2390,2637,1513,20925,4827,10032,1776,60840
8/5/2016 0:00,PeakWD,16835,2410,2611,1473,20724,4851,9972,1761,60640
8/8/2016 0:00,PeakWD,17189,2383,2673,1371,21241,5057,10319,1769,62007
8/9/2016 0:00,PeakWD,17608,2441,2424,1311,21061,5095,10373,1693,62010
8/10/2016 0:00,PeakWD,17484,2481,2495,1445,21602,5122,10504,1773,62908
8/11/2016 0:00,PeakWD,17594,2445,2565,1466,21725,5125,10517,1788,63228
8/12/2016 0:00,PeakWD,16846,2383,2388,1390,20260,4947,10500,1692,60408
8/15/2016 0:00,PeakWD,13683,1694,2396,1166,13929,4263,6897,1391,45422
8/16/2016 0:00,PeakWD,12937,1729,2415,1202,14691,3871,7319,1360,45527
8/17/2016 0:00,PeakWD,12937,1721,2404,1180,14510,4098,7642,1408,45904
8/18/2016 0:00,PeakWD,13437,1779,2409,1059,15356,4514,8133,1382,48073
8/19/2016 0:00,PeakWD,14606,1890,2401,1025,14295,4553,8935,1448,49156
8/22/2016 0:00,PeakWD,13774,1815,2341,1137,15516,4526,8458,1390,48960
8/23/2016 0:00,PeakWD,15988,2112,2346,1307,17954,4583,9051,1545,54889
8/24/2016 0:00,PeakWD,15939,2152,2267,1310,18246,4627,9061,1501,55107
8/25/2016 0:00,PeakWD,14635,2132,2298,1326,18673,4595,9037,1454,54153
8/26/2016 0:00,PeakWD,13776,1884,2227,1215,16652,4519,8905,1454,50637
8/29/2016 0:00,PeakWD,13147,1927,2193,1274,16530,4415,8221,1405,49115
8/30/2016 0:00,PeakWD,14642,2083,2227,1271,17560,3937,8175,1389,51287
8/31/2016 0:00,PeakWD,15276,2148,2245,1274,18543,4220,8874,1466,54050
9/1/2016 0:00,PeakWD,15705,2112,2191,1133,16865,4472,9132,1360,52972
9/2/2016 0:00,PeakWD,15100,2003,2294,1112,15962,4476,8302,1379,50631
9/6/2016 0:00,PeakWD,15801,2159,2369,1348,18113,4576,8938,1522,54829
9/7/2016 0:00,PeakWD,15243,2208,2355,1385,18813,4623,9379,1521,55530
9/8/2016 0:00,PeakWD,15597,2177,2403,1400,18922,4566,9177,1544,55789
9/9/2016 0:00,PeakWD,14269,2087,2435,1357,18570,4534,9144,1521,53922
9/12/2016 0:00,PeakWD,14764,1992,2323,1201,16718,4526,8892,1417,51837
9/13/2016 0:00,PeakWD,13974,2072,2336,1248,17477,4533,8642,1398,51684
9/14/2016 0:00,PeakWD,15042,2104,2301,1186,17014,4439,8981,1437,52507
9/15/2016 0:00,PeakWD,15316,2077,2350,1193,17811,4353,9042,1419,53564
9/16/2016 0:00,PeakWD,15002,2124,2277,1194,17709,4507,9129,1381,53325
9/19/2016 0:00,PeakWD,16466,2261,2365,1357,19820,4778,9901,1574,58526
9/20/2016 0:00,PeakWD,15627,2106,2372,1374,19734,4636,9609,1508,56970
9/21/2016 0:00,PeakWD,15295,1983,2296,1291,18124,4478,9021,1452,53942
9/22/2016 0:00,PeakWD,15406,2067,2332,1269,17449,4385,8921,1480,53312
9/23/2016 0:00,PeakWD,14620,2067,2356,1296,17785,4518,8899,1466,53011
9/26/2016 0:00,PeakWD,13878,1620,2030,910,11596,3695,6646,1063,41441
9/27/2016 0:00,PeakWD,13382,1571,2056,928,12275,3283,6464,1158,41119
